Code;Sign
166156;4
166157;4
166159;4
166162;4
166163;4
166165;4
166168;4
166175;4
166211;4
166280;4
166297;4
166304;4
166341;4
166343;4
167117;3
167145;3
167155;3
167156;3
167157;3
167158;2
167160;3
167165;3
167168;4
167273;3
167274;3
167279;4
167296;4
167305;3
167328;3
168124;3
168154;3
168155;3
168156;3
168157;3
168158;2
168159;2
168161;3
168167;4
168172;3
168215;3
168273;3
168274;3
168294;4
168329;3
169156;4
169160;4
169161;4
169172;4
169211;4
169300;4
169301;4
169306;4
169310;4
169318;4
169324;4
169325;4
169326;4
169336;4
169340;4
170169;4
170181;4
170280;4
170282;4
170297;4
170300;4
170301;4
170310;4
170311;4
170318;4
170320;4
170323;4
170324;4
170333;4
170341;4
170346;4
170348;4
171160;3
171170;4
171205;4
171210;4
171212;4
171213;4
171217;3
171281;4
171286;3
171301;4
171305;3
171328;3
171329;3
171330;3
171384;3
171385;3
171389;3
171401;4
172104;4
172156;2
172157;2
172158;2
172159;2
172165;2
172168;2
172169;2
172181;2
172182;2
172189;4
172273;2
172274;2
172278;2
172279;2
172284;4
172294;4
172339;2
172362;4
172375;2
173101;4
173109;4
173119;4
173121;4
173140;4
173142;4
173144;4
173175;4
174106;4
174110;4
174112;4
174120;4
174122;4
174141;4
174143;4
174146;4
174153;4
174176;4
174296;4
174298;4
174304;4
175105;4
175111;4
175114;3
175119;2
175121;3
175140;4
175144;4
175156;2
175166;4
175173;4
175177;4
175216;2
175288;3
175297;4
175341;3
175343;3
176106;4
176116;4
176120;2
176122;3
176141;4
176143;4
176145;4
176157;2
176216;2
176217;2
176257;4
176289;3
176296;4
176304;4
176360;4
177109;4
177111;4
177112;4
177113;2
177114;2
177119;3
177121;4
177141;4
177143;4
177146;4
177154;2
177178;4
177288;2
177347;2
178106;4
178111;4
178112;4
178113;2
178114;2
178119;3
178120;3
178140;4
178141;4
178143;4
178145;4
178146;4
178147;4
178177;4
178234;4
178288;2
178306;4
179106;4
179113;2
179117;4
179122;4
179153;2
179155;2
179160;2
179161;2
179180;4
179188;4
179289;2
179291;2
179294;4
179297;2
179298;2
179303;4
179307;4
179352;2
179356;4
180119;3
180128;4
180154;2
180160;2
180179;4
180256;4
180288;2
180290;2
180291;2
180297;2
180347;2
181101;4
181103;4
181124;4
181165;4
181168;4
181216;4
181278;4
181279;4
181295;4
181320;4
181324;4
181349;4
182104;4
182125;4
182154;4
182157;4
182165;4
182167;4
182188;4
182217;4
182273;4
182278;4
182279;4
182331;4
182350;4
185109;4
185117;4
185124;4
185161;4
185186;4
185226;4
185232;4
185252;4
185254;4
185290;4
185292;4
185293;4
185299;4
185302;4
185305;4
185312;4
185320;4
185322;4
185323;4
185334;4
185337;4
185340;4
185342;4
185349;4
185353;4
185357;4
186160;4
186182;4
186186;4
186227;4
186229;4
186253;4
186255;4
186292;4
186293;4
186296;4
186299;4
186311;4
186313;4
186321;4
186322;4
186323;4
186338;4
186341;4
186350;4
