Edgecode;Motif
213213;E009
213214;E020
213221;C009
213222;B014
213223;B013
213224;B072
213231;C011
213232;B016
213233;B015
213234;B081
213241;C028
213242;B044
213243;B063
213244;B090
213311;J007
213312;E004
213313;E005
213314;E023
213321;C013
213322;B012
213323;B007
213324;B075
213331;C015
213332;B006
213333;B003
213334;B084
213341;C031
213342;B047
213343;B066
213344;B093
213411;J010
213412;E012
213413;E017
213414;E026
213421;C020
213422;B036
213423;B055
213424;B078
213431;C025
213432;B041
213433;B060
213434;B087
213441;C034
213442;B050
213443;B069
213444;B096
214111;M007
214112;F014
214113;F015
214114;F018
214121;D005
214122;C036
214123;C040
214124;C045
214131;D006
214132;C037
214133;C041
214134;C047
214141;D008
214142;C039
214143;C043
214144;C049
214211;J011
214212;E011
214213;E014
214214;E021
214221;C017
214222;B033
214223;B052
214224;B073
214231;C022
214232;B038
214233;B057
214234;B082
214241;C029
214242;B045
214243;B064
214244;B091
214311;J012
214312;E012
214313;E015
214314;E024
214321;C018
214322;B034
214323;B053
214324;B076
214331;C023
214332;B039
214333;B058
214334;B085
214341;C032
214342;B048
214343;B067
214344;B094
214411;J013
214412;E013
214413;E018
214414;E027
214421;C021
214422;B037
214423;B056
214424;B079
214431;C026
214432;B042
214433;B061
214434;B088
214441;C035
214442;B051
214443;B070
214444;B097
221112;I001
221113;I002
221114;I019
221121;J001
221122;H001
221123;H005
221124;H013
221131;J002
221132;H004
221133;H002
221134;H014
221141;J014
221142;H011
221143;H012
221144;H015
221211;J001
221212;C001
221213;C003
221214;C027
221221;E001
221222;B001
221223;B005
221224;B043
221231;E002
221232;B004
221233;B002
221234;B062
221241;E019
221242;B071
221243;B080
221244;B089
221311;J002
221312;C002
221313;C004
221314;C055
221321;E002
221322;B017
221323;B021
221324;B108
221331;E003
221332;B020
221333;B018
221334;B127
221341;E031
221342;B136
221343;B145
221344;B154
221411;J014
221412;C036
221413;C064
221414;C073
221421;E019
221422;B163
221423;B172
221424;B181
221431;E031
221432;B190
221433;B199
221434;B208
221441;E040
221442;B217
221443;B226
221444;B235
222111;I001
222112;G001
222113;G002
222114;G011
222121;C001
222122;B001
222123;B010
222124;B035
222131;C002
222132;B014
222133;B012
222134;B036
222141;C036
222142;B033
222143;B034
222144;B037
222211;H001
222212;B001
222213;B017
222214;B163
222221;B001
222222;A001
222223;A005
222224;A017
222231;B017
222232;A005
222233;A002
222234;A018
222241;B163
222242;A017
222243;A018
222244;A019
222311;H004
222312;B014
222313;B030
222314;B164
222321;B004
222322;A005
222323;A013
222324;A020
222331;B020
222332;A009
222333;A007
222334;A021
222341;B190
222342;A022
222343;A023
222344;A024
222411;H011
222412;B033
222413;B098
222414;B165
222421;B071
222422;A017
222423;A025
222424;A026
222431;B136
222432;A022
222433;A027
222434;A028
222441;B217
222442;A029
222443;A030
222444;A031
223111;I002
223112;G002
223113;G003
223114;G028
223121;C003
223122;B017
223123;B026
223124;B100
223131;C004
223132;B030
223133;B028
223134;B101
223141;C064
223142;B098
223143;B099
223144;B102
223211;H005
223212;B010
223213;B026
223214;B166
223221;B005
223222;A005
223223;A011
223224;A032
223231;B021
223232;A013
223233;A006
223234;A033
223241;B172
223242;A025
223243;A034
223244;A035
223311;H002
223312;B012
223313;B028
223314;B167
223321;B002
223322;A002
223323;A006
223324;A036
223331;B018
223332;A007
223333;A003
223334;A037
223341;B199
223342;A027
223343;A038
223344;A039
223411;H012
223412;B034
223413;B099
223414;B168
223421;B080
223422;A018
223423;A034
223424;A040
223431;B145
223432;A023
223433;A038
223434;A041
223441;B226
223442;A030
223443;A042
223444;A043
224111;I019
224112;G011
224113;G028
224114;G040
224121;C027
224122;B163
224123;B166
224124;B169
224131;C055
224132;B164
224133;B167
224134;B170
224141;C073
224142;B165
224143;B168
224144;B171
224211;H013
224212;B035
224213;B100
224214;B169
224221;B043
224222;A017
224223;A032
224224;A044
224231;B108
224232;A020
224233;A036
224234;A045
224241;B181
224242;A026
224243;A040
224244;A046
224311;H014
224312;B036
224313;B101
224314;B170
224321;B062
